,svl
P_serratus,40.43333333
P_cinereus,45.28
P_shenandoah,46.9
P_hoffmani,49.62
P_virginia,53.05714286
P_nettingi,45.05
P_hubrichti,53.83
P_electromorphus,50.975
P_richmondi,52.46
P_yonahlossee,81.2
P_caddoensis,38
P_fourchensis,65.425
P_ouachitae,57.3
P_chattahoochee,61.75714286
P_cheoah,58.88
P_shermani,59.56
P_cylindraceus,78.12
P_teyahalee,77.675
P_chlorobryonis,49.23333333
P_variolatus,58.65714286
P_metcalfi,70.22
P_montanus,58.1
P_amplus,68.46
P_jordani,70.4
P_kiamichi,66.7625
P_mississippi,67.52
P_albagula,74.64
P_sequoyah,66.35
P_ocmulgee,66.36666667
P_savannah,62.55
P_grobmani,60.2
P_aureolus,55.17142857
P_glutinosus,73.51
P_kentucki,63.31666667
P_petraeus,70
P_websteri,38.7375
P_punctatus,64.09090909
P_wehrlei,57.47
P_welleri,42.7
P_angusticlavius,43.36666667
P_dorsalis,40.93333333
P_ventralis,42
